EST  MATRICULA  NOMBRE          APP             APM             FECHA      SEXO LUGAR CURP âE¸ãE¸HÉƒ8[]√êêêêêêêêêêêêUSHÉÏ8Hçl$0HâM HâU(LâE0LâM8HçE(HâEHã]π
1    324272     ANDRES          VEGA            ACEVEDO         3 _12_1986 H    MS  CURP 
1    324429     MARIA           SANCHEZ         OSUNA           15_10_2075 M    DG  CURP 
1    324464     ANTONIO         NAVARRO         SANCHEZ         26_12_2061 H    CH  CURP 
1    324596     JUAN            ROJAS           ROJAS           20_5 _1964 H    TC  CURP 
1    325200     ISABEL          CASTRO          ORTEGA          15_6 _2098 M    VZ  CURP 
1    325205     RAFAEL          ROMERO          GUERRERO        4 _4 _1998 H    DF  CURP 
1    325667     JOSE            FERNANDEZ       SILVA           13_3 _1911 H    CC  CURP 
1    325734     ANA             GUERRERO        NAVARRO         21_12_2086 M    PL  CURP 
1    325760     LUISA           GARCIA          SILVA           23_3 _2040 M    NT  CURP 
1    326869     ANDRES          LOPEZ           ROJAS           8 _8 _1955 H    MC  CURP 
1    327593     ALEJANDRO       MENDOZA         VEGA            24_3 _1922 H    TS  CURP 
1    327624     JAVIER          ROJAS           ROJAS           24_3 _1941 H    ZS  CURP 
1    328009     FERNANDO        ROJAS           SANCHEZ         15_3 _1992 H    SR  CURP 
1    328019     ALEJANDRO       RODRIGUEZ       TORRES          3 _8 _2002 H    VZ  CURP 
1    328027     MARTA           NAVARRO         VARGAS          7 _12_2070 M    SL  CURP 
1    328318     ANA             CASTRO          RUIZ            5 _9 _1972 M    OC  CURP 
1    329657     PATRICIA        RAMIREZ         SANCHEZ         3 _4 _2056 M    ZS  CURP 
1    329763     ANDRES          DIAZ            ORTEGA          3 _6 _1900 H    MS  CURP 
1    330836     MARTA           ALVAREZ         TORRES          13_4 _2048 M    TC  CURP 
1    331060     MARTA           ACEVEDO         TORRES          15_1 _2015 M    MN  CURP 
1    331185     FERNANDO        RUIZ            FERNANDEZ       1 _6 _2045 H    NL  CURP 
1    331556     ISABEL          ORTEGA          MORALES         5 _6 _1944 M    VZ  CURP 
1    331673     PATRICIA        GARCIA          VARGAS          25_7 _1972 M    SR  CURP 
1    332356     MARTA           RODRIGUEZ       ALVAREZ         7 _9 _2056 M    TS  CURP 
